Neurons,Temperature
1.0,4.946384432013725
2.0,2.4667468865542643
3.0,2.456842068423795
4.0,2.4418863320098705
5.0,2.441339862092992
6.0,2.422319263044348
7.0,2.3996675953851088
8.0,2.4548369279464137
9.0,2.406881211390522
10.0,2.5632602069303854
20.0,2.393232635151389
40.0,2.3816048045316003
60.0,2.388697909487162
80.0,2.3939492564289786
100.0,2.381948398719785
150.0,2.3366326271410527
200.0,2.319557031964461
250.0,2.358644227540748
300.0,2.326273834966277
350.0,2.317918332882012
400.0,2.319260953092235
450.0,2.3170408563613267
500.0,2.316756843252447
550.0,2.317562477253224
600.0,2.3164907342859524
650.0,2.319358156336507
700.0,2.3452975998106065
750.0,2.316100437604829
800.0,2.3168252040740644
850.0,2.3180611281537047
900.0,2.318278283613469
950.0,2.3186080091992674
1000.0,2.3149374067977404
