Neurons,Temperature
1.0,0.0
2.0,2.103120932366888
3.0,0.0
4.0,2.3084087614867776
5.0,2.761537504783773
6.0,2.45016213048044
7.0,2.330277232760814
8.0,2.388494075029971
9.0,2.8611754855782907
10.0,2.398461840230744
20.0,2.5025795010784604
40.0,2.3911837857700817
60.0,2.3945793370931203
80.0,2.41667534066426
100.0,2.3951419756265175
150.0,2.381994275395109
200.0,2.319801477356385
250.0,2.3455787405399264
300.0,2.3107460638647743
350.0,2.30801188275943
400.0,2.3502470088843315
450.0,2.3118072392792923
500.0,2.4214116605782827
550.0,2.3117229175628786
600.0,2.316387386670558
650.0,2.307766060733449
700.0,2.3117022652600667
750.0,2.6924636902578833
800.0,2.3230445934859736
850.0,2.301598423234986
900.0,2.3117514010772275
950.0,2.3371487537363103
1000.0,2.3951360360943865
